timestamp,temperature,humidity
2020-06-08 12:33:07,21.5,74.0
2020-06-08 12:33:38,21.5,74.1
2020-06-08 12:34:14,21.5,74.2
2020-06-08 12:34:44,21.5,74.2
2020-06-08 12:35:15,21.6,74.1
2020-06-08 12:35:45,21.6,74.1
2020-06-08 12:36:16,21.6,74.1
2020-06-08 12:36:49,21.6,74.0
2020-06-08 12:37:19,21.6,74.0
2020-06-08 12:37:50,21.6,74.0
2020-06-08 12:38:21,21.5,74.0
2020-06-08 12:38:51,21.6,74.1
2020-06-08 12:39:22,21.6,74.0
2020-06-08 12:39:52,21.6,74.0
2020-06-08 12:40:23,21.6,74.1
2020-06-08 12:40:53,21.6,74.1
2020-06-08 12:41:24,21.6,74.1
2020-06-08 12:41:54,21.5,74.0
2020-06-08 12:42:25,21.6,74.1
2020-06-08 12:42:56,21.6,74.0
2020-06-08 12:43:26,21.6,73.8
2020-06-08 12:43:57,21.6,73.7
2020-06-08 12:44:27,21.6,73.7
2020-06-08 12:44:58,21.6,73.8
2020-06-08 12:45:31,21.6,74.0
2020-06-08 12:46:01,21.6,74.0
2020-06-08 12:46:32,21.6,74.1
2020-06-08 12:47:03,21.7,74.0
2020-06-08 12:47:33,21.6,74.0
2020-06-08 12:48:04,21.6,74.0
2020-06-08 12:48:34,21.6,74.0
2020-06-08 12:49:05,21.6,74.0
2020-06-08 12:49:35,21.6,74.0
2020-06-08 12:50:06,21.6,74.0
2020-06-08 12:50:36,21.6,74.1
2020-06-08 12:51:07,21.6,74.1
2020-06-08 12:51:38,21.6,74.2
2020-06-08 12:52:08,21.6,74.2
2020-06-08 12:52:39,21.6,74.3
2020-06-08 12:53:09,21.6,74.3
2020-06-08 12:53:40,21.6,74.3
2020-06-08 12:54:10,21.6,74.3
2020-06-08 12:54:43,21.6,74.3
2020-06-08 12:55:14,21.6,74.3
2020-06-08 12:55:45,21.6,74.4
2020-06-08 12:56:15,21.6,74.4
2020-06-08 12:56:46,21.6,74.4
2020-06-08 12:57:16,21.6,74.6
2020-06-08 12:57:47,21.6,74.6
2020-06-08 12:58:17,21.6,74.6
2020-06-08 12:58:48,21.6,74.6
2020-06-08 12:59:18,21.6,74.6
2020-06-08 12:59:49,21.6,74.6
2020-06-08 13:00:20,21.6,74.7
2020-06-08 13:00:50,21.6,74.8
2020-06-08 13:01:21,21.6,74.8
2020-06-08 13:01:51,21.6,74.7
2020-06-08 13:02:22,21.6,74.8
2020-06-08 13:02:52,21.6,74.8
2020-06-08 13:03:23,21.6,74.8
2020-06-08 13:03:56,21.6,74.7
2020-06-08 13:04:27,21.6,74.7
2020-06-08 13:04:57,21.6,74.8
2020-06-08 13:05:28,21.6,74.7
2020-06-08 13:05:58,21.6,74.8
2020-06-08 13:06:31,21.7,74.7
2020-06-08 13:07:02,21.7,74.7
2020-06-08 13:07:32,21.7,74.7
2020-06-08 13:08:03,21.6,74.6
2020-06-08 13:08:33,21.6,74.8
2020-06-08 13:09:04,21.6,74.6
2020-06-08 13:09:35,21.6,74.6
2020-06-08 13:10:05,21.7,74.8
2020-06-08 13:10:36,21.6,74.7
2020-06-08 13:11:06,21.6,74.7
2020-06-08 13:11:37,21.7,74.7
2020-06-08 13:12:07,21.7,74.6
2020-06-08 13:12:38,21.7,74.8
2020-06-08 13:13:08,21.6,74.9
2020-06-08 13:13:39,21.6,75.0
2020-06-08 13:14:10,21.6,75.0
2020-06-08 13:14:40,21.6,74.7
2020-06-08 13:15:11,21.6,74.6
2020-06-08 13:15:41,21.7,74.5
2020-06-08 13:16:14,21.7,74.6
2020-06-08 13:16:45,21.7,74.6
2020-06-08 13:17:15,21.7,74.5
2020-06-08 13:17:46,21.7,74.6
2020-06-08 13:18:19,21.7,74.7
2020-06-08 13:18:50,21.6,74.6
2020-06-08 13:19:20,21.6,74.6
2020-06-08 13:19:51,21.6,74.6
2020-06-08 13:20:21,21.7,74.7
2020-06-08 13:20:52,21.6,74.6
2020-06-08 13:21:22,21.7,74.5
2020-06-08 13:21:53,21.7,74.5
2020-06-08 13:22:24,21.7,74.5
2020-06-08 13:22:54,21.7,74.2
2020-06-08 13:23:25,21.7,74.4
2020-06-08 13:23:55,21.7,74.4
2020-06-08 13:24:26,21.7,74.3
2020-06-08 13:24:56,21.7,74.4
2020-06-08 13:25:27,21.7,74.5
2020-06-08 13:25:57,21.7,74.5
2020-06-08 13:26:28,21.7,74.3
2020-06-08 13:26:59,21.8,74.5
2020-06-08 13:27:29,21.8,74.4
2020-06-08 13:28:00,21.8,74.3
2020-06-08 13:28:30,21.8,74.2
2020-06-08 13:29:01,21.8,74.3
2020-06-08 13:29:31,21.7,74.4
2020-06-08 13:30:02,21.7,74.4
2020-06-08 13:30:32,21.7,74.5
2020-06-08 13:31:03,21.7,74.4
2020-06-08 13:31:34,21.7,74.4
2020-06-08 13:32:04,21.7,74.4
2020-06-08 13:32:35,21.7,74.5
2020-06-08 13:33:05,21.7,74.5
2020-06-08 13:33:36,21.7,74.5
2020-06-08 13:34:06,21.7,74.3
2020-06-08 13:34:37,21.7,74.4
2020-06-08 13:35:07,21.7,74.4
2020-06-08 13:35:38,21.7,74.4
2020-06-08 13:36:09,21.7,74.4
2020-06-08 13:36:39,21.7,74.4
2020-06-08 13:37:10,21.7,74.5
2020-06-08 13:37:40,21.7,74.7
2020-06-08 13:38:11,21.6,74.6
2020-06-08 13:38:41,21.6,74.7
2020-06-08 13:39:12,21.7,74.7
2020-06-08 13:39:42,21.7,74.8
2020-06-08 13:40:13,21.6,74.9
2020-06-08 13:40:44,21.7,74.8
2020-06-08 13:41:17,21.7,74.7
2020-06-08 13:41:47,21.7,74.7
2020-06-08 13:42:18,21.7,74.7
2020-06-08 13:42:51,21.7,74.7
2020-06-08 13:43:21,21.7,74.7
2020-06-08 13:43:52,21.7,74.7
2020-06-08 13:44:23,21.7,74.7
2020-06-08 13:44:53,21.7,74.7
2020-06-08 13:45:24,21.7,74.5
2020-06-08 13:45:57,21.7,74.4
2020-06-08 13:46:27,21.7,74.4
2020-06-08 13:46:58,21.7,74.3
2020-06-08 13:47:28,21.7,74.2
2020-06-08 13:47:59,21.8,74.2
2020-06-08 13:48:32,21.8,74.1
2020-06-08 13:49:03,21.7,74.1
2020-06-08 13:49:36,21.8,74.0
2020-06-08 13:50:06,21.8,74.0
2020-06-08 13:50:39,21.8,73.9
2020-06-08 13:51:10,21.8,73.9
2020-06-08 13:51:43,21.8,74.2
2020-06-08 13:52:13,21.8,74.2
2020-06-08 13:52:44,21.8,74.4
2020-06-08 13:53:15,21.8,74.4
2020-06-08 13:53:48,21.8,74.3
2020-06-08 13:54:18,21.7,74.3
2020-06-08 13:54:51,21.7,74.2
2020-06-08 13:55:22,21.8,74.3
2020-06-08 13:55:52,21.7,74.2
2020-06-08 13:56:23,21.7,74.2
2020-06-08 13:56:54,21.7,74.3
2020-06-08 13:57:24,21.8,74.3
2020-06-08 13:57:55,21.7,74.2
2020-06-08 13:58:25,21.8,74.2
2020-06-08 13:58:56,21.8,74.1
2020-06-08 13:59:26,21.8,74.2
2020-06-08 13:59:57,21.8,74.3
2020-06-08 14:00:27,21.8,74.2
2020-06-08 14:00:58,21.8,74.3
2020-06-08 14:01:29,21.7,74.3
2020-06-08 14:02:02,21.7,74.3
2020-06-08 14:02:32,21.7,74.3
2020-06-08 14:03:05,21.7,74.4
2020-06-08 14:03:38,21.7,74.4
2020-06-08 14:04:09,21.7,74.4
2020-06-08 14:04:39,21.7,74.4
2020-06-08 14:05:10,21.7,74.4
2020-06-08 14:05:43,21.7,74.4
2020-06-08 14:06:16,21.7,74.3
2020-06-08 14:06:47,21.7,74.3
2020-06-08 14:07:17,21.7,74.3
2020-06-08 14:07:48,21.7,74.3
2020-06-08 14:08:18,21.7,74.3
2020-06-08 14:08:49,21.7,74.3
2020-06-08 14:09:19,21.7,74.5
2020-06-08 14:09:50,21.7,74.5
2020-06-08 14:10:21,21.7,74.5
2020-06-08 14:10:51,21.7,74.5
2020-06-08 14:11:22,21.7,74.3
2020-06-08 14:11:52,21.8,74.0
2020-06-08 14:12:23,21.8,73.9
2020-06-08 14:12:56,21.8,73.9
2020-06-08 14:13:26,21.8,73.8
2020-06-08 14:13:57,21.8,73.9
2020-06-08 14:14:28,21.8,74.0
2020-06-08 14:14:58,21.8,73.8
2020-06-08 14:15:29,21.8,74.0
2020-06-08 14:15:59,21.8,74.1
2020-06-08 14:16:30,21.8,74.2
2020-06-08 14:17:00,21.8,74.2
2020-06-08 14:17:31,21.8,74.0
2020-06-08 14:18:01,21.8,73.9
2020-06-08 14:18:32,21.8,74.0
2020-06-08 14:19:03,21.8,74.1
2020-06-08 14:19:33,21.8,74.1
2020-06-08 14:20:04,21.8,74.2
2020-06-08 14:20:34,21.8,74.0
2020-06-08 14:21:05,21.8,73.9
2020-06-08 14:21:35,21.8,74.0
2020-06-08 14:22:06,21.8,74.1
2020-06-08 14:22:36,21.8,74.1
2020-06-08 14:23:07,21.8,74.1
2020-06-08 14:23:38,21.8,74.0
2020-06-08 14:24:08,21.8,74.1
2020-06-08 14:24:39,21.8,74.2
2020-06-08 14:25:09,21.8,74.2
2020-06-08 14:25:40,21.8,74.3
2020-06-08 14:26:10,21.7,74.2
2020-06-08 14:26:41,21.7,74.2
2020-06-08 14:27:11,21.7,74.2
2020-06-08 14:27:45,21.8,74.2
2020-06-08 14:28:15,21.8,74.1
2020-06-08 14:28:46,21.8,74.2
2020-06-08 14:29:16,21.8,74.3
2020-06-08 14:29:47,21.8,74.3
2020-06-08 14:30:20,21.8,74.2
2020-06-08 14:30:50,21.7,74.1
2020-06-08 14:31:23,21.8,74.2
2020-06-08 14:31:54,21.8,74.1
2020-06-08 14:32:25,21.8,74.2
2020-06-08 14:32:55,21.8,74.0
2020-06-08 14:33:28,21.8,74.0
2020-06-08 14:33:59,21.8,74.0
2020-06-08 14:34:29,21.8,74.2
2020-06-08 14:35:00,21.8,74.2
2020-06-08 14:35:30,21.8,73.9
2020-06-08 14:36:01,21.8,74.0
2020-06-08 14:36:37,21.8,73.9
2020-06-08 14:37:07,21.8,73.9
2020-06-08 14:37:38,21.8,74.0
2020-06-08 14:38:08,21.8,74.0
2020-06-08 14:38:39,21.8,74.1
2020-06-08 14:39:09,21.8,74.1
2020-06-08 14:39:40,21.8,74.2
2020-06-08 14:40:11,21.8,74.3
2020-06-08 14:40:44,21.8,74.3
2020-06-08 14:41:14,21.8,74.3
2020-06-08 14:41:45,21.8,74.4
2020-06-08 14:42:15,21.8,74.3
2020-06-08 14:42:46,21.8,74.2
2020-06-08 14:43:16,21.8,74.2
2020-06-08 14:43:47,21.8,74.3
2020-06-08 14:44:20,21.9,74.2
2020-06-08 14:44:51,21.8,74.2
2020-06-08 14:45:21,21.9,74.3
2020-06-08 14:45:52,21.9,74.3
2020-06-08 14:46:22,21.9,74.2
2020-06-08 14:46:53,21.9,74.1
2020-06-08 14:47:23,21.9,74.1
2020-06-08 14:47:54,21.9,74.0
2020-06-08 14:48:24,21.9,73.8
2020-06-08 14:48:55,21.9,74.2
2020-06-08 14:49:26,21.9,73.7
2020-06-08 14:49:56,21.9,73.4
2020-06-08 14:50:27,21.9,73.6
2020-06-08 14:50:57,21.9,73.6
2020-06-08 14:51:28,21.9,73.9
2020-06-08 14:51:58,21.9,73.9
2020-06-08 14:52:29,21.9,73.7
2020-06-08 14:52:59,21.9,73.8
2020-06-08 14:53:30,21.9,74.3
2020-06-08 14:54:01,21.9,73.6
2020-06-08 14:54:31,21.9,74.3
2020-06-08 14:55:02,21.9,75.0
